direction,classifier,feature,delta_j_norm
pd_to_hd,dt,double_support_s,0.0
pd_to_hd,dt,double_support_pct,0.0
pd_to_hd,dt,asymmetry_index,3.408829359306554e-08
pd_to_hd,dt,cv_stride,0.013961905766003426
pd_to_hd,dt,cv_swing,0.0
pd_to_hd,dt,dfa_alpha_stride,0.17971503172253642
pd_to_hd,knn,left_stride_s,0.12724565725970374
pd_to_hd,knn,right_stride_s,0.14089924599946158
pd_to_hd,knn,left_swing_s,0.07474365254489797
pd_to_hd,knn,right_swing_s,0.02700866699103483
pd_to_hd,knn,left_swing_pct,0.09821776046213562
pd_to_hd,knn,right_swing_pct,0.0274041990962884
pd_to_hd,knn,left_stance_s,0.056786719375661696
pd_to_hd,knn,right_stance_s,0.1199603070804202
pd_to_hd,knn,double_support_s,0.07500377745280028
pd_to_hd,knn,double_support_pct,0.06016693323318469
pd_to_hd,knn,asymmetry_index,1.1968744760212706
pd_to_hd,knn,cv_stride,0.2226674461489924
pd_to_hd,knn,cv_swing,0.0982908066043226
pd_to_hd,knn,dfa_alpha_stride,0.1983282777206156
pd_to_hd,lgbm,left_stride_s,0.08214827850451503
pd_to_hd,lgbm,right_stride_s,0.1581546557839032
pd_to_hd,lgbm,left_swing_s,0.13037743940264016
pd_to_hd,lgbm,right_swing_s,0.16770393261956731
pd_to_hd,lgbm,left_swing_pct,0.10081058937034515
pd_to_hd,lgbm,right_swing_pct,0.14544151049826112
pd_to_hd,lgbm,left_stance_s,0.20809763941466106
pd_to_hd,lgbm,right_stance_s,0.06129690667873666
pd_to_hd,lgbm,double_support_s,0.023289497541564876
pd_to_hd,lgbm,double_support_pct,0.6107888674048946
pd_to_hd,lgbm,asymmetry_index,0.8588895240952893
pd_to_hd,lgbm,cv_stride,0.05821212436295537
pd_to_hd,lgbm,cv_swing,0.13509886926273956
pd_to_hd,lgbm,dfa_alpha_stride,0.20415768750125685
pd_to_hd,qda,left_stride_s,0.16111803794088267
pd_to_hd,qda,right_stride_s,0.13442029613735204
