scope,domain,corruption,variant,severity,classifier,mean_f1
cross,als_to_pd,evaluation_row_dropout,direct,light,xgb,0.7165073999999999
cross,als_to_pd,evaluation_row_dropout,direct,medium,dt,0.8547206
cross,als_to_pd,evaluation_row_dropout,direct,medium,knn,0.6836275666666665
cross,als_to_pd,evaluation_row_dropout,direct,medium,lgbm,0.724974
cross,als_to_pd,evaluation_row_dropout,direct,medium,qda,0.7976513999999999
cross,als_to_pd,evaluation_row_dropout,direct,medium,rf,0.8156353999999999
cross,als_to_pd,evaluation_row_dropout,direct,medium,svm,0.7751419666666666
cross,als_to_pd,evaluation_row_dropout,direct,medium,xgb,0.7164386333333334
cross,als_to_pd,gaussian_feature_space_jitter,pooled_relative,heavy,dt,0.7478628333333336
cross,als_to_pd,gaussian_feature_space_jitter,pooled_relative,heavy,knn,0.6690588
cross,als_to_pd,gaussian_feature_space_jitter,pooled_relative,heavy,lgbm,0.6770558333333334
cross,als_to_pd,gaussian_feature_space_jitter,pooled_relative,heavy,qda,0.5803678
cross,als_to_pd,gaussian_feature_space_jitter,pooled_relative,heavy,rf,0.7543002
cross,als_to_pd,gaussian_feature_space_jitter,pooled_relative,heavy,svm,0.7307095666666666
cross,als_to_pd,gaussian_feature_space_jitter,pooled_relative,heavy,xgb,0.7172733666666669
