direction,classifier,feature,delta_j
pd_to_als,qda,left_stance_s,0.011682660305822583
pd_to_als,qda,right_stance_s,0.012697047758736181
pd_to_als,qda,double_support_s,0.008161851085773962
pd_to_als,qda,double_support_pct,0.00030270795211195106
pd_to_als,qda,asymmetry_index,0.004007485604399872
pd_to_als,qda,cv_stride,0.016836167366632543
pd_to_als,qda,cv_swing,0.03133546700349979
pd_to_als,qda,dfa_alpha_stride,0.011912515392780113
pd_to_als,rf,left_stride_s,0.004770375810147609
pd_to_als,rf,right_stride_s,0.009330280093577847
pd_to_als,rf,left_swing_s,0.00017841016397650376
pd_to_als,rf,right_swing_s,0.00022626669397200652
pd_to_als,rf,left_swing_pct,0.00020747769030720785
pd_to_als,rf,right_swing_pct,0.00015378385031192656
pd_to_als,rf,left_stance_s,0.003613198928028305
pd_to_als,rf,right_stance_s,0.003862013973547098
pd_to_als,rf,double_support_s,0.0006122581586156875
pd_to_als,rf,double_support_pct,0.004773693281732098
pd_to_als,rf,asymmetry_index,0.00017901531859881468
pd_to_als,rf,cv_stride,0.0003569459697512767
pd_to_als,rf,cv_swing,0.003400105428747538
pd_to_als,rf,dfa_alpha_stride,0.001476626476104411
pd_to_als,svm,left_stride_s,0.006752787108940762
pd_to_als,svm,right_stride_s,0.007641028198566701
pd_to_als,svm,left_swing_s,1.2046978493160202e-05
pd_to_als,svm,right_swing_s,0.0014583289042557866
pd_to_als,svm,left_swing_pct,0.00039939811888081364
pd_to_als,svm,right_swing_pct,0.0049962846411924534
pd_to_als,svm,left_stance_s,0.009398168574497856
pd_to_als,svm,right_stance_s,0.012550988981593847
pd_to_als,svm,double_support_s,0.01100365588180956
pd_to_als,svm,double_support_pct,0.0011268046449791937
pd_to_als,svm,asymmetry_index,0.0010928536594447882
pd_to_als,svm,cv_stride,0.004410720690411735
pd_to_als,svm,cv_swing,0.016903604188822516
pd_to_als,svm,dfa_alpha_stride,0.005470566931746468
pd_to_als,xgb,left_stride_s,0.015159143766753723
pd_to_als,xgb,right_stride_s,0.022608200778561353
pd_to_als,xgb,left_swing_s,0.00019667222715331726
pd_to_als,xgb,right_swing_s,0.00022115157412802192
pd_to_als,xgb,left_swing_pct,3.3399328172546846e-05
pd_to_als,xgb,right_swing_pct,0.0002313596691844818
pd_to_als,xgb,left_stance_s,0.0014933998764051137
pd_to_als,xgb,right_stance_s,0.008518459437210035
pd_to_als,xgb,double_support_s,0.004077312620634498
pd_to_als,xgb,double_support_pct,7.055323617580558e-05
pd_to_als,xgb,asymmetry_index,3.5821219143186543e-06
pd_to_als,xgb,cv_stride,0.03356261095570748
pd_to_als,xgb,cv_swing,0.012072717823557177
pd_to_als,xgb,dfa_alpha_stride,0.00040634288550280354
pd_to_hd,dt,left_stride_s,0.0007564487481248779
pd_to_hd,dt,right_stride_s,0.00982182884782383
pd_to_hd,dt,left_swing_s,0.0
pd_to_hd,dt,right_swing_s,0.0
pd_to_hd,dt,left_swing_pct,0.0
pd_to_hd,dt,right_swing_pct,0.0
pd_to_hd,dt,left_stance_s,0.0
pd_to_hd,dt,right_stance_s,0.0
pd_to_hd,dt,double_support_s,0.0
pd_to_hd,dt,double_support_pct,0.0
pd_to_hd,dt,asymmetry_index,3.4088293593065545e-18
pd_to_hd,dt,cv_stride,0.006608919327112273
pd_to_hd,dt,cv_swing,0.0
pd_to_hd,dt,dfa_alpha_stride,0.003835696110128399
pd_to_hd,knn,left_stride_s,0.0027263641046810783
pd_to_hd,knn,right_stride_s,0.003385560828885654
pd_to_hd,knn,left_swing_s,0.0011281700911014159
pd_to_hd,knn,right_swing_s,0.0005630008024800834
pd_to_hd,knn,left_swing_pct,0.0011801820836710875
pd_to_hd,knn,right_swing_pct,0.00043761850408729173
pd_to_hd,knn,left_stance_s,0.0011983927891418208
pd_to_hd,knn,right_stance_s,0.003058810364969508
pd_to_hd,knn,double_support_s,0.00176446796361018
pd_to_hd,knn,double_support_pct,0.001166127498899678
pd_to_hd,knn,asymmetry_index,0.008296879292306283
pd_to_hd,knn,cv_stride,0.032157458398477945
pd_to_hd,knn,cv_swing,0.0063985562044104535
pd_to_hd,knn,dfa_alpha_stride,0.016902344985681717
pd_to_hd,lgbm,left_stride_s,0.0010667220355714165
pd_to_hd,lgbm,right_stride_s,0.005087779298070253
pd_to_hd,lgbm,left_swing_s,0.00015242367525710723
pd_to_hd,lgbm,right_swing_s,2.7181161434436886e-06
pd_to_hd,lgbm,left_swing_pct,4.5335077670117054e-05
pd_to_hd,lgbm,right_swing_pct,0.00011105828629445378
pd_to_hd,lgbm,left_stance_s,0.0015830395094876288
