scope,domain,classifier,variant,sigma,mean_f1,std_f1
cross,pd_to_hd,xgb,source_relative,0.5,0.7555150000000002,0.0056736708849161235
cross,pd_to_hd,lgbm,source_relative,0.0,0.809436,0.0
cross,pd_to_hd,lgbm,source_relative,0.05,0.8037994000000002,0.0018484370210233372
cross,pd_to_hd,lgbm,source_relative,0.1,0.8104031999999999,0.003307864801473538
cross,pd_to_hd,lgbm,source_relative,0.15,0.8111764,0.0031248418067546064
cross,pd_to_hd,lgbm,source_relative,0.2,0.8089288000000001,0.0037204389933780937
cross,pd_to_hd,lgbm,source_relative,0.25,0.801462,0.0047761101616129
cross,pd_to_hd,lgbm,source_relative,0.5,0.7478066666666667,0.005714057452871179
cross,pd_to_hd,rf,target_relative,0.0,0.806739,0.0
cross,pd_to_hd,rf,target_relative,0.05,0.8123003,0.004151867341828
cross,pd_to_hd,rf,target_relative,0.1,0.8080163666666667,0.004235010332465778
cross,pd_to_hd,rf,target_relative,0.15,0.7870364,0.004235053210592722
cross,pd_to_hd,rf,target_relative,0.2,0.7650291333333333,0.005032315911176987
cross,pd_to_hd,rf,target_relative,0.25,0.7441514666666666,0.005882483206203343
cross,pd_to_hd,rf,target_relative,0.5,0.6876585,0.0060537321161811255
cross,pd_to_hd,knn,target_relative,0.0,0.761634,0.0
cross,pd_to_hd,knn,target_relative,0.05,0.765393,0.0031482140202409117
cross,pd_to_hd,knn,target_relative,0.1,0.7603439333333335,0.0030448873251712415
cross,pd_to_hd,knn,target_relative,0.15,0.7481834666666668,0.004061132479505194
cross,pd_to_hd,knn,target_relative,0.2,0.7353076000000002,0.005056044396356808
cross,pd_to_hd,knn,target_relative,0.25,0.7220853666666669,0.005838986623717678
cross,pd_to_hd,knn,target_relative,0.5,0.6737811333333332,0.004271915638561762
cross,pd_to_hd,svm,target_relative,0.0,0.804983,0.0
cross,pd_to_hd,svm,target_relative,0.05,0.8032376333333332,0.0021630765204526036
cross,pd_to_hd,svm,target_relative,0.1,0.7999482666666666,0.0035584316860616865
cross,pd_to_hd,svm,target_relative,0.15,0.7920669333333332,0.004100314083287912
cross,pd_to_hd,svm,target_relative,0.2,0.7803417000000002,0.004665354332183955
cross,pd_to_hd,svm,target_relative,0.25,0.7663361333333331,0.004137505059760084
cross,pd_to_hd,svm,target_relative,0.5,0.7203799666666667,0.0061293986287869005
cross,pd_to_hd,dt,target_relative,0.0,0.808212,0.0
cross,pd_to_hd,dt,target_relative,0.05,0.8105472999999999,0.003667759375685794
cross,pd_to_hd,dt,target_relative,0.1,0.7995966,0.0033657225652461145
cross,pd_to_hd,dt,target_relative,0.15,0.7763582666666665,0.004098732040549852
cross,pd_to_hd,dt,target_relative,0.2,0.7485639333333333,0.005306842635129009
cross,pd_to_hd,dt,target_relative,0.25,0.7271417333333333,0.005527648074613804
cross,pd_to_hd,dt,target_relative,0.5,0.6622539,0.005306855003119825
cross,pd_to_hd,qda,target_relative,0.0,0.853409,0.0
cross,pd_to_hd,qda,target_relative,0.05,0.8326962000000001,0.002189293105878764
cross,pd_to_hd,qda,target_relative,0.1,0.8000015,0.0038436707558413886
cross,pd_to_hd,qda,target_relative,0.15,0.7558483,0.005647720682443197
cross,pd_to_hd,qda,target_relative,0.2,0.7025306666666665,0.005872728504873521
cross,pd_to_hd,qda,target_relative,0.25,0.6479520333333333,0.006807969743861476
cross,pd_to_hd,qda,target_relative,0.5,0.4735145333333334,0.004855336827218801
cross,pd_to_hd,xgb,target_relative,0.0,0.809681,0.0
